Tissue_cell_type_name	Developmental_stage	Organ_system	Specific_tissue_name	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID
FetalSpinalCord_Erythroid cell	Fetal	Nervous system	FetalSpinalCord	Erythroid cell	Erythroid lineage cell	CL:0000764	Spinal cord	UBERON:0002240
FetalSpinalCord_Erythroid progenitor cell (RP high)	Fetal	Nervous system	FetalSpinalCord	Erythroid progenitor cell (RP high)	Erythroid progenitor cell	CL:0000038	Spinal cord	UBERON:0002240
FetalSpinalCord_Fetal chondrocyte	Fetal	Nervous system	FetalSpinalCord	Fetal chondrocyte	Chondrocyte	CL:0000138	Spinal cord	UBERON:0002240
FetalSpinalCord_Fetal mesenchymal progenitor	Fetal	Nervous system	FetalSpinalCord	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Spinal cord	UBERON:0002240
FetalSpinalCord_Fetal neuron	Fetal	Nervous system	FetalSpinalCord	Fetal neuron	Neuron	CL:0000540	Spinal cord	UBERON:0002240
FetalSpinalCord_Macrophage	Fetal	Nervous system	FetalSpinalCord	Macrophage	Macrophage	CL:0000235	Spinal cord	UBERON:0002240
FetalSpinalCord_Monocyte	Fetal	Nervous system	FetalSpinalCord	Monocyte	Monocyte	CL:0000576	Spinal cord	UBERON:0002240
FetalSpinalCord_Neutrophil	Fetal	Nervous system	FetalSpinalCord	Neutrophil	Neutrophil	CL:0000775	Spinal cord	UBERON:0002240
FetalSpinalCord_Neutrophil (RPS high)	Fetal	Nervous system	FetalSpinalCord	Neutrophil (RPS high)	Neutrophil	CL:0000775	Spinal cord	UBERON:0002240
FetalStomach_Dendritic cell	Fetal	Digestive system	FetalStomach	Dendritic cell	Dendritic cell	CL:0000451	Stomach	UBERON:0000945
FetalStomach_Endothelial cell	Fetal	Digestive system	FetalStomach	Endothelial cell	Endothelial cell	CL:0000115	Stomach	UBERON:0000945
FetalStomach_Erythroid cell	Fetal	Digestive system	FetalStomach	Erythroid cell	Erythroid lineage cell	CL:0000764	Stomach	UBERON:0000945
FetalStomach_Fetal enterocyte	Fetal	Digestive system	FetalStomach	Fetal enterocyte	Enterocyte	CL:0000584	Stomach	UBERON:0000945
FetalStomach_Fetal epithelial progenitor	Fetal	Digestive system	FetalStomach	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Stomach	UBERON:0000945
FetalStomach_Fetal mesenchymal progenitor	Fetal	Digestive system	FetalStomach	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Stomach	UBERON:0000945
FetalStomach_Fetal neuron	Fetal	Digestive system	FetalStomach	Fetal neuron	Neuron	CL:0000540	Stomach	UBERON:0000945
FetalStomach_Fetal stromal cell	Fetal	Digestive system	FetalStomach	Fetal stromal cell	Stromal cell	CL:0000499	Stomach	UBERON:0000945
FetalStomach_Goblet cell	Fetal	Digestive system	FetalStomach	Goblet cell	Goblet cell	CL:0000160	Stomach	UBERON:0000945
FetalStomach_Macrophage	Fetal	Digestive system	FetalStomach	Macrophage	Macrophage	CL:0000235	Stomach	UBERON:0000945
FetalStomach_Smooth muscle cell	Fetal	Digestive system	FetalStomach	Smooth muscle cell	Smooth muscle cell	CL:0000192	Stomach	UBERON:0000945
FetalStomach_T cell	Fetal	Digestive system	FetalStomach	T cell	T cell	CL:0000084	Stomach	UBERON:0000945
FetalThymus_CB CD34+	Fetal	Lymphatic system	FetalThymus	CB CD34+	Hematopoietic stem cell	CL:0000037	Thymus	UBERON:0002370
FetalThymus_Dendritic cell	Fetal	Lymphatic system	FetalThymus	Dendritic cell	Dendritic cell	CL:0000451	Thymus	UBERON:0002370
FetalThymus_Erythroid cell	Fetal	Lymphatic system	FetalThymus	Erythroid cell	Erythroid lineage cell	CL:0000764	Thymus	UBERON:0002370
FetalThymus_Proliferating T cell	Fetal	Lymphatic system	FetalThymus	Proliferating T cell	T cell	CL:0000084	Thymus	UBERON:0002370
FetalThymus_T cell	Fetal	Lymphatic system	FetalThymus	T cell	T cell	CL:0000084	Thymus	UBERON:0002370
Lake_2017_CerebellarHemisphere_Ast	Adult	Nervous system	Lake_2017_CerebellarHemisphere	Ast	Astrocyte	CL:0000127	Cerebellar hemisphere	UBERON:0002245
Lake_2017_CerebellarHemisphere_End	Adult	Nervous system	Lake_2017_CerebellarHemisphere	End	Endothelial cell	CL:0000115	Cerebellar hemisphere	UBERON:0002245
Lake_2017_CerebellarHemisphere_Gran	Adult	Nervous system	Lake_2017_CerebellarHemisphere	Gran	Cerebellar granule cell	CL:0001031	Cerebellar hemisphere	UBERON:0002245
Lake_2017_CerebellarHemisphere_Mic	Adult	Nervous system	Lake_2017_CerebellarHemisphere	Mic	Microglial cell	CL:0000129	Cerebellar hemisphere	UBERON:0002245
Lake_2017_CerebellarHemisphere_Oli	Adult	Nervous system	Lake_2017_CerebellarHemisphere	Oli	Oligodendrocyte	CL:0000128	Cerebellar hemisphere	UBERON:0002245
Lake_2017_CerebellarHemisphere_OPC	Adult	Nervous system	Lake_2017_CerebellarHemisphere	OPC	Oligodendrocyte precursor cell	CL:0002453	Cerebellar hemisphere	UBERON:0002245
Lake_2017_CerebellarHemisphere_Per	Adult	Nervous system	Lake_2017_CerebellarHemisphere	Per	Pericyte cell	CL:0000669	Cerebellar hemisphere	UBERON:0002245
Lake_2017_CerebellarHemisphere_Purk1	Adult	Nervous system	Lake_2017_CerebellarHemisphere	Purk1	Purkinje cell	CL:0000121	Cerebellar hemisphere	UBERON:0002245
Lake_2017_CerebellarHemisphere_Purk2	Adult	Nervous system	Lake_2017_CerebellarHemisphere	Purk2	Purkinje cell	CL:0000121	Cerebellar hemisphere	UBERON:0002245
Lake_2017_FrontalCortex_Ast	Adult	Nervous system	Lake_2017_FrontalCortex	Ast	Astrocyte	CL:0000127	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_End	Adult	Nervous system	Lake_2017_FrontalCortex	End	Endothelial cell	CL:0000115	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Ex1	Adult	Nervous system	Lake_2017_FrontalCortex	Ex1	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Ex2	Adult	Nervous system	Lake_2017_FrontalCortex	Ex2	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Ex3e	Adult	Nervous system	Lake_2017_FrontalCortex	Ex3e	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Ex4	Adult	Nervous system	Lake_2017_FrontalCortex	Ex4	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Ex5b	Adult	Nervous system	Lake_2017_FrontalCortex	Ex5b	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Ex6a	Adult	Nervous system	Lake_2017_FrontalCortex	Ex6a	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Ex6b	Adult	Nervous system	Lake_2017_FrontalCortex	Ex6b	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Ex8	Adult	Nervous system	Lake_2017_FrontalCortex	Ex8	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_In1a	Adult	Nervous system	Lake_2017_FrontalCortex	In1a	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_In1b	Adult	Nervous system	Lake_2017_FrontalCortex	In1b	Inhibitory neuron	CL:0008029	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_In1c	Adult	Nervous system	Lake_2017_FrontalCortex	In1c	Inhibitory neuron	CL:0008029	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_In3	Adult	Nervous system	Lake_2017_FrontalCortex	In3	Inhibitory neuron	CL:0008029	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_In4a	Adult	Nervous system	Lake_2017_FrontalCortex	In4a	Inhibitory neuron	CL:0008029	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_In4b	Adult	Nervous system	Lake_2017_FrontalCortex	In4b	Inhibitory neuron	CL:0008029	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_In6a	Adult	Nervous system	Lake_2017_FrontalCortex	In6a	Inhibitory neuron	CL:0008029	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_In6b	Adult	Nervous system	Lake_2017_FrontalCortex	In6b	Inhibitory neuron	CL:0008029	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_In7	Adult	Nervous system	Lake_2017_FrontalCortex	In7	Inhibitory neuron	CL:0008029	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_In8	Adult	Nervous system	Lake_2017_FrontalCortex	In8	Inhibitory neuron	CL:0008029	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Mic	Adult	Nervous system	Lake_2017_FrontalCortex	Mic	Microglial cell	CL:0000129	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Oli	Adult	Nervous system	Lake_2017_FrontalCortex	Oli	Oligodendrocyte	CL:0000128	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_OPC	Adult	Nervous system	Lake_2017_FrontalCortex	OPC	Oligodendrocyte precursor cell	CL:0002453	Frontal cortex	UBERON:0001870
Lake_2017_FrontalCortex_Per	Adult	Nervous system	Lake_2017_FrontalCortex	Per	Pericyte cell	CL:0000669	Frontal cortex	UBERON:0001870
Lake_2017_VisualCortex_Ast	Adult	Nervous system	Lake_2017_VisualCortex	Ast	Astrocyte	CL:0000127	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_End	Adult	Nervous system	Lake_2017_VisualCortex	End	Endothelial cell	CL:0000115	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex1	Adult	Nervous system	Lake_2017_VisualCortex	Ex1	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex3a	Adult	Nervous system	Lake_2017_VisualCortex	Ex3a	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex3b	Adult	Nervous system	Lake_2017_VisualCortex	Ex3b	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex3c	Adult	Nervous system	Lake_2017_VisualCortex	Ex3c	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex3d	Adult	Nervous system	Lake_2017_VisualCortex	Ex3d	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex4	Adult	Nervous system	Lake_2017_VisualCortex	Ex4	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex5a	Adult	Nervous system	Lake_2017_VisualCortex	Ex5a	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex5b	Adult	Nervous system	Lake_2017_VisualCortex	Ex5b	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex6a	Adult	Nervous system	Lake_2017_VisualCortex	Ex6a	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex6b	Adult	Nervous system	Lake_2017_VisualCortex	Ex6b	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Ex8	Adult	Nervous system	Lake_2017_VisualCortex	Ex8	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In1a	Adult	Nervous system	Lake_2017_VisualCortex	In1a	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In1b	Adult	Nervous system	Lake_2017_VisualCortex	In1b	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In1c	Adult	Nervous system	Lake_2017_VisualCortex	In1c	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In2	Adult	Nervous system	Lake_2017_VisualCortex	In2	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In3	Adult	Nervous system	Lake_2017_VisualCortex	In3	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In4a	Adult	Nervous system	Lake_2017_VisualCortex	In4a	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In4b	Adult	Nervous system	Lake_2017_VisualCortex	In4b	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In6a	Adult	Nervous system	Lake_2017_VisualCortex	In6a	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In6b	Adult	Nervous system	Lake_2017_VisualCortex	In6b	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In7	Adult	Nervous system	Lake_2017_VisualCortex	In7	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_In8	Adult	Nervous system	Lake_2017_VisualCortex	In8	Inhibitory neuron	CL:0008029	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Mic	Adult	Nervous system	Lake_2017_VisualCortex	Mic	Microglial cell	CL:0000129	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Oli	Adult	Nervous system	Lake_2017_VisualCortex	Oli	Oligodendrocyte	CL:0000128	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_OPC	Adult	Nervous system	Lake_2017_VisualCortex	OPC	Oligodendrocyte precursor cell	CL:0002453	Visual cortex	UBERON:0000411
Lake_2017_VisualCortex_Per	Adult	Nervous system	Lake_2017_VisualCortex	Per	Pericyte cell	CL:0000669	Visual cortex	UBERON:0000411
MacParland_2018_liver_B cell	Adult	Digestive system	MacParland_2018_liver	B cell	B cell	CL:0000236	Liver	UBERON:0002107
MacParland_2018_liver_Cholangiocytes	Adult	Digestive system	MacParland_2018_liver	Cholangiocytes	Cholangiocyte	CL:1000488	Liver	UBERON:0002107
MacParland_2018_liver_Endothelial cell	Adult	Digestive system	MacParland_2018_liver	Endothelial cell	Endothelial cell	CL:0000115	Liver	UBERON:0002107
MacParland_2018_liver_Erythroid cell	Adult	Digestive system	MacParland_2018_liver	Erythroid cell	Erythroid lineage cell	CL:0000764	Liver	UBERON:0002107
MacParland_2018_liver_Hepatocyte	Adult	Digestive system	MacParland_2018_liver	Hepatocyte	Hepatocyte	CL:0000182	Liver	UBERON:0002107
MacParland_2018_liver_Kupffer cell	Adult	Digestive system	MacParland_2018_liver	Kupffer cell	Kupffer cell	CL:0000091	Liver	UBERON:0002107
MacParland_2018_liver_NK-like cell	Adult	Digestive system	MacParland_2018_liver	NK-like cell	Natural killer cell	CL:0000623	Liver	UBERON:0002107
MacParland_2018_liver_Stellate cell	Adult	Digestive system	MacParland_2018_liver	Stellate cell	Hepatic stellate cell	CL:0000632	Liver	UBERON:0002107
MacParland_2018_liver_T cell	Adult	Digestive system	MacParland_2018_liver	T cell	T cell	CL:0000084	Liver	UBERON:0002107
Madissoon_2020_lung_Alveolar_Type1	Adult	Respiratory system	Madissoon_2020_lung	Alveolar_Type1	Alveolar capillary type 2 endothelial cell	CL:4028003	Lung	UBERON:0002048
Madissoon_2020_lung_Alveolar_Type2	Adult	Respiratory system	Madissoon_2020_lung	Alveolar_Type2	Alveolar capillary type 2 endothelial cell	CL:4028003	Lung	UBERON:0002048
Madissoon_2020_lung_B_cell_mature	Adult	Respiratory system	Madissoon_2020_lung	B_cell_mature	B cell	CL:0000236	Lung	UBERON:0002048
Madissoon_2020_lung_B_cell_naive	Adult	Respiratory system	Madissoon_2020_lung	B_cell_naive	B cell	CL:0000236	Lung	UBERON:0002048
Madissoon_2020_lung_Basal	Adult	Respiratory system	Madissoon_2020_lung	Basal	Basal cell	CL:0000646	Lung	UBERON:0002048
Madissoon_2020_lung_Blood_vessel	Adult	Respiratory system	Madissoon_2020_lung	Blood_vessel	Endothelial cell	CL:0000115	Lung	UBERON:0002048
Madissoon_2020_lung_Ciliated	Adult	Respiratory system	Madissoon_2020_lung	Ciliated	Ciliated cell	CL:0000064	Lung	UBERON:0002048
Madissoon_2020_lung_DC_1	Adult	Respiratory system	Madissoon_2020_lung	DC_1	Dendritic cell	CL:0000451	Lung	UBERON:0002048
Madissoon_2020_lung_DC_2	Adult	Respiratory system	Madissoon_2020_lung	DC_2	Dendritic cell	CL:0000451	Lung	UBERON:0002048
Madissoon_2020_lung_DC_activated	Adult	Respiratory system	Madissoon_2020_lung	DC_activated	Dendritic cell	CL:0000451	Lung	UBERON:0002048
Madissoon_2020_lung_DC_Monocyte_Dividing	Adult	Respiratory system	Madissoon_2020_lung	DC_Monocyte_Dividing	Dendritic cell	CL:0000451	Lung	UBERON:0002048
Madissoon_2020_lung_DC_plasmacytoid	Adult	Respiratory system	Madissoon_2020_lung	DC_plasmacytoid	Plasmacytoid dendritic cell	CL:0000784	Lung	UBERON:0002048
Madissoon_2020_lung_Fibroblast	Adult	Respiratory system	Madissoon_2020_lung	Fibroblast	Fibroblast	CL:0000057	Lung	UBERON:0002048
Madissoon_2020_lung_Lymph_vessel	Adult	Respiratory system	Madissoon_2020_lung	Lymph_vessel	Endothelial cell	CL:0000115	Lung	UBERON:0002048
Madissoon_2020_lung_Macrophage_Dividing	Adult	Respiratory system	Madissoon_2020_lung	Macrophage_Dividing	Macrophage	CL:0000235	Lung	UBERON:0002048
Madissoon_2020_lung_Macrophage_MARCOneg	Adult	Respiratory system	Madissoon_2020_lung	Macrophage_MARCOneg	Melanocyte	CL:0000148	Lung	UBERON:0002048
Madissoon_2020_lung_Macrophage_MARCOpos	Adult	Respiratory system	Madissoon_2020_lung	Macrophage_MARCOpos	Macrophage	CL:0000235	Lung	UBERON:0002048
Madissoon_2020_lung_Mast_cells	Adult	Respiratory system	Madissoon_2020_lung	Mast_cells	Mast cell	CL:0000097	Lung	UBERON:0002048
Madissoon_2020_lung_Monocyte	Adult	Respiratory system	Madissoon_2020_lung	Monocyte	Monocyte	CL:0000576	Lung	UBERON:0002048
Madissoon_2020_lung_Muscle_cells	Adult	Respiratory system	Madissoon_2020_lung	Muscle_cells	Muscle cell	CL:0000187	Lung	UBERON:0002048
Madissoon_2020_lung_NK	Adult	Respiratory system	Madissoon_2020_lung	NK	Natural killer cell	CL:0000623	Lung	UBERON:0002048
Madissoon_2020_lung_NK_Dividing	Adult	Respiratory system	Madissoon_2020_lung	NK_Dividing	Natural killer cell	CL:0000623	Lung	UBERON:0002048
Madissoon_2020_lung_Plasma_cells	Adult	Respiratory system	Madissoon_2020_lung	Plasma_cells	Plasma cell	CL:0000786	Lung	UBERON:0002048
Madissoon_2020_lung_Secretory_club	Adult	Respiratory system	Madissoon_2020_lung	Secretory_club	Club cell	CL:0000158	Lung	UBERON:0002048
Madissoon_2020_lung_T_CD4	Adult	Respiratory system	Madissoon_2020_lung	T_CD4	T cell	CL:0000084	Lung	UBERON:0002048
Madissoon_2020_lung_T_CD8_CytT	Adult	Respiratory system	Madissoon_2020_lung	T_CD8_CytT	T cell	CL:0000084	Lung	UBERON:0002048
Madissoon_2020_lung_T_cells_Dividing	Adult	Respiratory system	Madissoon_2020_lung	T_cells_Dividing	T cell	CL:0000084	Lung	UBERON:0002048
Madissoon_2020_lung_T_regulatory	Adult	Respiratory system	Madissoon_2020_lung	T_regulatory	T cell	CL:0000084	Lung	UBERON:0002048
Madissoon_2020_oesophagus_B_CD27neg	Adult	Digestive system	Madissoon_2020_oesophagus	B_CD27neg	B cell	CL:0000236	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_B_CD27pos	Adult	Digestive system	Madissoon_2020_oesophagus	B_CD27pos	B cell	CL:0000236	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Dendritic_Cells	Adult	Digestive system	Madissoon_2020_oesophagus	Dendritic_Cells	Dendritic cell	CL:0000451	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Endothelia_Lymphatic	Adult	Digestive system	Madissoon_2020_oesophagus	Endothelia_Lymphatic	Endothelial cell	CL:0000115	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Endothelia_vascular_arterial	Adult	Digestive system	Madissoon_2020_oesophagus	Endothelia_vascular_arterial	Endothelial cell	CL:0000115	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Endothelia_vascular_venous	Adult	Digestive system	Madissoon_2020_oesophagus	Endothelia_vascular_venous	Endothelial cell	CL:0000115	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Epi_basal	Adult	Digestive system	Madissoon_2020_oesophagus	Epi_basal	Basal cell	CL:0000646	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Epi_stratified	Adult	Digestive system	Madissoon_2020_oesophagus	Epi_stratified	Epithelial cell	CL:0000066	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Epi_suprabasal	Adult	Digestive system	Madissoon_2020_oesophagus	Epi_suprabasal	Basal cell	CL:0000646	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Epi_upper	Adult	Digestive system	Madissoon_2020_oesophagus	Epi_upper	Basal cell	CL:0000646	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Fibroblast	Adult	Digestive system	Madissoon_2020_oesophagus	Fibroblast	Fibroblast	CL:0000057	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Glands_duct	Adult	Digestive system	Madissoon_2020_oesophagus	Glands_duct	Salivary gland cell	CL:0009005	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Glands_mucous	Adult	Digestive system	Madissoon_2020_oesophagus	Glands_mucous	Mucus secreting cell	CL:0000319	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Mast_cell	Adult	Digestive system	Madissoon_2020_oesophagus	Mast_cell	Mast cell	CL:0000097	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Mono_macro	Adult	Digestive system	Madissoon_2020_oesophagus	Mono_macro	Macrophage	CL:0000235	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_Muscle	Adult	Digestive system	Madissoon_2020_oesophagus	Muscle	Muscle cell	CL:0000187	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_NK_T_CD8_Cytotoxic	Adult	Digestive system	Madissoon_2020_oesophagus	NK_T_CD8_Cytotoxic	T cell	CL:0000084	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_T_CD4	Adult	Digestive system	Madissoon_2020_oesophagus	T_CD4	T cell	CL:0000084	Esophagus	UBERON:0001043
Madissoon_2020_oesophagus_T_CD8	Adult	Digestive system	Madissoon_2020_oesophagus	T_CD8	T cell	CL:0000084	Esophagus	UBERON:0001043
Madissoon_2020_spleen_B_Hypermutation	Adult	Lymphatic system	Madissoon_2020_spleen	B_Hypermutation	B cell	CL:0000236	Spleen	UBERON:0002106
Madissoon_2020_spleen_B_mature	Adult	Lymphatic system	Madissoon_2020_spleen	B_mature	B cell	CL:0000236	Spleen	UBERON:0002106
Madissoon_2020_spleen_B_naive	Adult	Lymphatic system	Madissoon_2020_spleen	B_naive	B cell	CL:0000236	Spleen	UBERON:0002106
Madissoon_2020_spleen_B_T_doublet	Adult	Lymphatic system	Madissoon_2020_spleen	B_T_doublet	B/T doublet	NA	Spleen	UBERON:0002106
Madissoon_2020_spleen_CD34_progenitor	Adult	Lymphatic system	Madissoon_2020_spleen	CD34_progenitor	Hematopoietic stem cell	CL:0000037	Spleen	UBERON:0002106
Madissoon_2020_spleen_DC_1	Adult	Lymphatic system	Madissoon_2020_spleen	DC_1	Dendritic cell	CL:0000451	Spleen	UBERON:0002106
Madissoon_2020_spleen_DC_2	Adult	Lymphatic system	Madissoon_2020_spleen	DC_2	Dendritic cell	CL:0000451	Spleen	UBERON:0002106
Madissoon_2020_spleen_DC_activated	Adult	Lymphatic system	Madissoon_2020_spleen	DC_activated	Dendritic cell	CL:0000451	Spleen	UBERON:0002106
Madissoon_2020_spleen_DC_plasmacytoid	Adult	Lymphatic system	Madissoon_2020_spleen	DC_plasmacytoid	Plasmacytoid dendritic cell	CL:0000784	Spleen	UBERON:0002106
Madissoon_2020_spleen_ILC	Adult	Lymphatic system	Madissoon_2020_spleen	ILC	Innate lymphoid cell	CL:0001065	Spleen	UBERON:0002106
Madissoon_2020_spleen_Macrophage	Adult	Lymphatic system	Madissoon_2020_spleen	Macrophage	Macrophage	CL:0000235	Spleen	UBERON:0002106
Madissoon_2020_spleen_Monocyte	Adult	Lymphatic system	Madissoon_2020_spleen	Monocyte	Monocyte	CL:0000576	Spleen	UBERON:0002106
Madissoon_2020_spleen_Neutrophil	Adult	Lymphatic system	Madissoon_2020_spleen	Neutrophil	Neutrophil	CL:0000775	Spleen	UBERON:0002106
Madissoon_2020_spleen_NK_CD160pos	Adult	Lymphatic system	Madissoon_2020_spleen	NK_CD160pos	Natural killer cell	CL:0000623	Spleen	UBERON:0002106
Madissoon_2020_spleen_NK_dividing	Adult	Lymphatic system	Madissoon_2020_spleen	NK_dividing	Natural killer cell	CL:0000623	Spleen	UBERON:0002106
Madissoon_2020_spleen_NK_FCGR3Apos	Adult	Lymphatic system	Madissoon_2020_spleen	NK_FCGR3Apos	Natural killer cell	CL:0000623	Spleen	UBERON:0002106
Madissoon_2020_spleen_Plasma_IgG	Adult	Lymphatic system	Madissoon_2020_spleen	Plasma_IgG	Plasma cell	CL:0000786	Spleen	UBERON:0002106
Madissoon_2020_spleen_Plasma_IgM	Adult	Lymphatic system	Madissoon_2020_spleen	Plasma_IgM	Plasma cell	CL:0000786	Spleen	UBERON:0002106
Madissoon_2020_spleen_Plasmablast	Adult	Lymphatic system	Madissoon_2020_spleen	Plasmablast	Plasma cell	CL:0000786	Spleen	UBERON:0002106
Madissoon_2020_spleen_Platelet	Adult	Lymphatic system	Madissoon_2020_spleen	Platelet	Platelet	CL:0000233	Spleen	UBERON:0002106
Madissoon_2020_spleen_T_CD4_conv	Adult	Lymphatic system	Madissoon_2020_spleen	T_CD4_conv	T cell	CL:0000084	Spleen	UBERON:0002106
Madissoon_2020_spleen_T_CD4_fh	Adult	Lymphatic system	Madissoon_2020_spleen	T_CD4_fh	T cell	CL:0000084	Spleen	UBERON:0002106
Madissoon_2020_spleen_T_CD4_naive	Adult	Lymphatic system	Madissoon_2020_spleen	T_CD4_naive	T cell	CL:0000084	Spleen	UBERON:0002106
Madissoon_2020_spleen_T_CD4_reg	Adult	Lymphatic system	Madissoon_2020_spleen	T_CD4_reg	T cell	CL:0000084	Spleen	UBERON:0002106
Madissoon_2020_spleen_T_CD8_activated	Adult	Lymphatic system	Madissoon_2020_spleen	T_CD8_activated	T cell	CL:0000084	Spleen	UBERON:0002106
Madissoon_2020_spleen_T_CD8_CTL	Adult	Lymphatic system	Madissoon_2020_spleen	T_CD8_CTL	T cell	CL:0000084	Spleen	UBERON:0002106
Madissoon_2020_spleen_T_CD8_gd	Adult	Lymphatic system	Madissoon_2020_spleen	T_CD8_gd	Thymocyte	CL:0000893	Spleen	UBERON:0002106
Madissoon_2020_spleen_T_CD8_MAIT	Adult	Lymphatic system	Madissoon_2020_spleen	T_CD8_MAIT	T cell	CL:0000084	Spleen	UBERON:0002106
Madissoon_2020_spleen_T_cell_dividing	Adult	Lymphatic system	Madissoon_2020_spleen	T_cell_dividing	T cell	CL:0000084	Spleen	UBERON:0002106
Madissoon_2020_spleen_Unknown	Adult	Lymphatic system	Madissoon_2020_spleen	Unknown	Unknown	NA	Spleen	UBERON:0002106
