Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p
Fetal_HCA_Eye_Horizontal cells	Fetal	Sensory system	Fetal_HCA_Eye	Horizontal cells	Retina horizontal cell	CL:0000745	Eye	UBERON:0000970	0.943792641972153	0.787863415557845	0.876752767527675	0.946316059214705	0.0239637897628836
TS_Trachea_cd8-positive, alpha-beta t cell	Adult	Respiratory system	TS_Trachea	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Trachea	UBERON:0003126	0.939687664904319	0.803599319195656	0.860147601476015	0.946483354080783	0.0238870196235151
TS_Trachea_cd4-positive, alpha-beta t cell	Adult	Respiratory system	TS_Trachea	cd4-positive, alpha-beta t cell	T cell	CL:0000084	Trachea	UBERON:0003126	0.939687664904319	0.803599319195656	0.860147601476015	0.946483354080783	0.0238870196235151
AdultIleum_T cell	Adult	Digestive system	AdultIleum	T cell	T cell	CL:0000084	Ileum	UBERON:0002116	0.94727597672877	0.789301422417698	0.878228782287823	0.947209254505703	0.023554067418954
TS_Spleen_naive b cell	Adult	Lymphatic system	TS_Spleen	naive b cell	B cell	CL:0000236	Spleen	UBERON:0002106	0.939730831944398	0.804174521939597	0.861992619926199	0.947211187894433	0.0235531809630881
TS_Spleen_naive thymus-derived cd8-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Spleen	naive thymus-derived cd8-positive, alpha-beta t cell	T cell	CL:0000084	Spleen	UBERON:0002106	0.939730831944398	0.804174521939597	0.861992619926199	0.947211187894433	0.0235531809630881
TS_Spleen_mature nk t cell	Adult	Lymphatic system	TS_Spleen	mature nk t cell	T cell	CL:0000084	Spleen	UBERON:0002106	0.939730831944398	0.804174521939597	0.861992619926199	0.947211187894433	0.0235531809630881
TS_Pancreas_t cell	Adult	Digestive system	TS_Pancreas	t cell	T cell	CL:0000084	Pancreas	UBERON:0001264	0.939736675068834	0.804051264208752	0.863837638376384	0.947714507637394	0.0233224711335081
TS_Pancreas_nk cell	Adult	Digestive system	TS_Pancreas	nk cell	Natural killer cell	CL:0000623	Pancreas	UBERON:0001264	0.939736675068834	0.804051264208752	0.863837638376384	0.947714507637394	0.0233224711335081
TS_Liver_endothelial cell of hepatic sinusoid	Adult	Digestive system	TS_Liver	endothelial cell of hepatic sinusoid	Endothelial cell	CL:0000115	Liver	UBERON:0002107	0.939751222301663	0.8026132573489	0.865682656826568	0.947801439045044	0.0232826362476671
