Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p
Fetal_HCA_Placenta_Stromal cells	Fetal	Reproductive system	Fetal_HCA_Placenta	Stromal cells	Stromal cell	CL:0000499	Placenta	UBERON:0001987	0.0278987383761729	0.100003105625146	0.287084870848708	0.130642929852718	0.883914088493371
Placenta_Fibroblast	Adult	Reproductive system	Placenta	Fibroblast	Fibroblast	CL:0000057	Placenta	UBERON:0001987	0.0148433610256551	0.11557466562183	0.250922509225092	0.131674333406871	0.880498871553739
TS_Large_Intestine_gut endothelial cell	Adult	Digestive system	TS_Large_Intestine	gut endothelial cell	Endothelial cell	CL:0000115	Large intestine	UBERON:0000059	4.26660163629377e-06	0.339739392117638	0.0863468634686347	0.132858971083514	0.876609115242975
TS_Thymus_vein endothelial cell	Adult	Lymphatic system	TS_Thymus	vein endothelial cell	Endothelial cell	CL:0000115	Thymus	UBERON:0002370	1.05341509012039e-06	0.393685192317234	0.0749077490774908	0.133404284918852	0.87483022074386
Fetal_HCA_Stomach_Mesothelial cells	Fetal	Digestive system	Fetal_HCA_Stomach	Mesothelial cells	Mesothelial cell	CL:0000077	Stomach	UBERON:0000945	0.0314252579836405	0.102345002511191	0.290774907749077	0.1343519464131	0.871756037378594
AdultTrachea_Stromal cell	Adult	Respiratory system	AdultTrachea	Stromal cell	Stromal cell	CL:0000499	Trachea	UBERON:0003126	0.0394106769378473	0.100167449266272	0.308487084870849	0.138340539134567	0.859050536140992
Fetal_HCA_Spleen_Mesothelial cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	Mesothelial cells	Mesothelial cell	CL:0000077	Spleen	UBERON:0002106	0.0314818445163586	0.105960562615962	0.292250922509225	0.138572409185107	0.858323232433354
TS_Eye_retinal pigment epithelial cell	Adult	Sensory system	TS_Eye	retinal pigment epithelial cell	Retinal pigment epithelial cell	CL:0002586	Eye	UBERON:0000970	4.78454956011989e-06	0.350380642880544	0.0892988929889299	0.139688012782275	0.854840860928614
AdultUreter_Epithelial cell (intermediated)	Adult	Urinary system	AdultUreter	Epithelial cell (intermediated)	Epithelial cell	CL:0000066	Uterus	UBERON:0000995	0.0337489966015892	0.104563641666391	0.301845018450185	0.140634053801688	0.851909504441152
Segerstolpe_2016_PancreaticIslets_pancreatic A cell	Adult	Digestive system	Segerstolpe_2016_PancreaticIslets	pancreatic A cell	Pancreatic A cell	CL:0000171	Pancreas	UBERON:0001264	0.00111392581742317	0.188830843653726	0.167527675276753	0.140884094526918	0.851138034918365
TS_Eye_corneal keratocyte	Adult	Sensory system	TS_Eye	corneal keratocyte	Fibroblast	CL:0000057	Eye	UBERON:0000970	1.34648800233473e-06	0.416857645715994	0.0782287822878229	0.144239384983514	0.840916138052402
TS_Thymus_endothelial cell of artery	Adult	Lymphatic system	TS_Thymus	endothelial cell of artery	Endothelial cell	CL:0000115	Thymus	UBERON:0002370	3.80490363486544e-06	0.399190704294953	0.0826568265682657	0.145556972751785	0.836966985312146
FetalSkin_Epithelial cell	Fetal	Integumentary system	FetalSkin	Epithelial cell	Epithelial cell	CL:0000066	Skin of body	UBERON:0002097	0.0336842666428539	0.111178473221711	0.300738007380074	0.147054226305621	0.832522489451135
FetalLiver_Monocyte	Fetal	Digestive system	FetalLiver	Monocyte	Monocyte	CL:0000576	Liver	UBERON:0002107	0.0142753376182766	0.134268754799908	0.249446494464945	0.147248814592804	0.831948192757338
TS_Spleen_hematopoietic stem cell	Adult	Lymphatic system	TS_Spleen	hematopoietic stem cell	Hematopoietic stem cell	CL:0000037	Spleen	UBERON:0002106	4.27800256933757e-06	0.383331542926298	0.0878228782287823	0.147833946171128	0.830225830203411
Madissoon_2020_oesophagus_Endothelia_Lymphatic	Adult	Digestive system	Madissoon_2020_oesophagus	Endothelia_Lymphatic	Endothelial cell	CL:0000115	Esophagus	UBERON:0001043	0.0112017010998676	0.138952548571998	0.24280442804428	0.148081480827901	0.82949925125022
TS_Tongue_tongue muscle cell	Adult	Digestive system	TS_Tongue	tongue muscle cell	Muscle cell	CL:0000187	Tongue	UBERON:0001723	0.000157329382325662	0.264305660840823	0.128044280442804	0.148435597770542	0.828461934222958
Fetal_HCA_Muscle_Satellite cells	Fetal	Muscular system	Fetal_HCA_Muscle	Satellite cells	Skeletal muscle satellite cell	CL:0000594	Muscle organ	UBERON:0001630	0.0242034064019309	0.122518184459402	0.277490774907749	0.148959529210138	0.826931708957807
TS_Salivary_Gland_fibroblast	Adult	Digestive system	TS_Salivary_Gland	fibroblast	Fibroblast	CL:0000057	Saliva-secreting gland	UBERON:0001044	4.7801564460295e-06	0.384564120234743	0.0885608856088561	0.14916125932744	0.826343958666527
Fetal_HCA_Thymus_Vascular endothelial cells	Fetal	Lymphatic system	Fetal_HCA_Thymus	Vascular endothelial cells	Endothelial cell	CL:0000115	Thymus	UBERON:0002370	0.0375959240949332	0.111137387311429	0.307749077490775	0.149651310630923	0.824919475300334
FetalEyes_Fetal neuron	Fetal	Sensory system	FetalEyes	Fetal neuron	Neuron	CL:0000540	Eye	UBERON:0000970	0.0164762228886104	0.1307353665157	0.264944649446494	0.1511175780936	0.820685015309977
AdultCervix_Basal cell	Adult	Reproductive system	AdultCervix	Basal cell	Basal cell	CL:0000646	Uterine cervix	UBERON:0000002	0.0231768014983232	0.125188768627699	0.276752767527675	0.151146841319321	0.820600924317609
Madissoon_2020_lung_Monocyte	Adult	Respiratory system	Madissoon_2020_lung	Monocyte	Monocyte	CL:0000576	Lung	UBERON:0002048	0.00471940292682159	0.168000287141011	0.210332103321033	0.153458564890813	0.814008867538356
Fetal_HCA_Cerebrum_10k_Astrocytes	Fetal	Nervous system	Fetal_HCA_Cerebrum_10k	Astrocytes	Astrocyte	CL:0000127	Cerebral hemisphere	UBERON:0001869	0.000292484285215417	0.26615452680349	0.135055350553506	0.155491605128938	0.808293053226179
FetalIntestine_Fetal enterocyte	Fetal	Digestive system	FetalIntestine	Fetal enterocyte	Enterocyte	CL:0000584	Intestine	UBERON:0000160	0.028245567757853	0.12494225316601	0.287822878228782	0.155543636389192	0.808147752074353
FetalBrain_Primordial germ cell	Fetal	Nervous system	FetalBrain	Primordial germ cell	Primordial germ cell	CL:0000670	Brain	UBERON:0000955	0.0353147786832811	0.117752218866749	0.305535055350554	0.155597475525854	0.807997453452276
TS_Trachea_basal cell	Adult	Respiratory system	TS_Trachea	basal cell	Basal cell	CL:0000646	Trachea	UBERON:0003126	1.44028142909872e-05	0.363774649632309	0.0996309963099631	0.156480245001752	0.805540482579316
Fetal_HCA_Pancreas_Stromal cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Stromal cells	Stromal cell	CL:0000499	Pancreas	UBERON:0001264	0.00896033535044829	0.156044287249098	0.23690036900369	0.158874004775806	0.798947156952362
TS_Thymus_endothelial cell of lymphatic vessel	Adult	Lymphatic system	TS_Thymus	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Thymus	UBERON:0002370	1.30598735169663e-05	0.377250828204638	0.0988929889298893	0.159995360743122	0.79589261004953
van_Zyl_eye_2020_SchwannCell-my	Adult	Sensory system	van_Zyl_eye_2020	SchwannCell-my	Schwann cell	CL:0002573	Eye	UBERON:0000970	0.0344133210202299	0.123463160395876	0.302583025830258	0.160161052726966	0.795443085269291
TS_Lung_club cell	Adult	Respiratory system	TS_Lung	club cell	Club cell	CL:0000158	Lung	UBERON:0002048	0.000143195990415128	0.310116450804684	0.120664206642066	0.160365133236315	0.794890050572393
AdultIleum_Stromal cell	Adult	Digestive system	AdultIleum	Stromal cell	Stromal cell	CL:0000499	Ileum	UBERON:0002116	0.0192206176498314	0.138993634482279	0.270848708487085	0.161107940658409	0.792883053627078
TS_Lung_vein endothelial cell	Adult	Respiratory system	TS_Lung	vein endothelial cell	Endothelial cell	CL:0000115	Lung	UBERON:0002048	0.000143195990415128	0.312376175870166	0.120664206642066	0.161260006653633	0.792473326617554
TS_Spleen_intermediate monocyte	Adult	Lymphatic system	TS_Spleen	intermediate monocyte	Monocyte	CL:0000576	Spleen	UBERON:0002106	0.000143880854157378	0.304569852916683	0.123985239852399	0.16148792416581	0.791859948034024
TS_Uterus_ciliated epithelial cell	Adult	Reproductive system	TS_Uterus	ciliated epithelial cell	Ciliated cell	CL:0000064	Uterus	UBERON:0000995	0.00104560061027639	0.234025344963365	0.16309963099631	0.162820170975686	0.788291793545175
Lake_2017_VisualCortex_Ast	Adult	Nervous system	Lake_2017_VisualCortex	Ast	Astrocyte	CL:0000127	Visual cortex	UBERON:0000411	0.00140501202865029	0.214057592566561	0.179335793357934	0.163533891507295	0.786392228512619
TS_Prostate_epithelial cell	Adult	Reproductive system	TS_Prostate	epithelial cell	Epithelial cell	CL:0000066	Prostate gland	UBERON:0002367	9.86113679621981e-05	0.329837687739799	0.116605166051661	0.1637704672425	0.785764411916246
TS_Lymph_Node_cd141-positive myeloid dendritic cell	Adult	Lymphatic system	TS_Lymph_Node	cd141-positive myeloid dendritic cell	Dendritic cell	CL:0000451	Lymph node	UBERON:0000029	1.30479671574164e-05	0.400012422500583	0.0974169741697417	0.165419723802569	0.781412708641282
TS_Salivary_Gland_acinar cell of salivary gland	Adult	Digestive system	TS_Salivary_Gland	acinar cell of salivary gland	Acinar cell	CL:0000622	Saliva-secreting gland	UBERON:0001044	1.61528357317541e-05	0.38476954978615	0.101845018450184	0.166129320912527	0.779553710193301
AdultSigmoidColon_Enterocyte progenitor	Adult	Digestive system	AdultSigmoidColon	Enterocyte progenitor	Enterocyte	CL:0000584	Sigmoid colon	UBERON:0001159	0.0426842612263444	0.12465465179404	0.314760147601476	0.166289493956857	0.77913518830721
TS_Lymph_Node_intermediate monocyte	Adult	Lymphatic system	TS_Lymph_Node	intermediate monocyte	Monocyte	CL:0000576	Lymph node	UBERON:0000029	1.30479671574164e-05	0.404778388093236	0.0974169741697417	0.16692358346881	0.777482300547764
TS_Salivary_Gland_ionocyte	Adult	Digestive system	TS_Salivary_Gland	ionocyte	Ionocyte	CL:0005006	Saliva-secreting gland	UBERON:0001044	5.17906700638408e-05	0.358392395385434	0.112177121771218	0.169409324058164	0.77106269037148
TS_Tongue_fibroblast	Adult	Digestive system	TS_Tongue	fibroblast	Fibroblast	CL:0000057	Tongue	UBERON:0001723	0.000157329382325662	0.314718072756211	0.128044280442804	0.169712666298046	0.770285743433262
Voigt_2019_retina_2_Macrophage 1	Adult	Sensory system	Voigt_2019_retina_2	Macrophage 1	Macrophage	CL:0000235	Retina	UBERON:0000966	0.00597940726668685	0.189693647769638	0.216974169741697	0.172467872126016	0.763291794839443
TS_Lymph_Node_macrophage	Adult	Lymphatic system	TS_Lymph_Node	macrophage	Macrophage	CL:0000235	Lymph node	UBERON:0000029	1.30479671574164e-05	0.423143789989062	0.0974169741697417	0.172668067808181	0.76278797081096
Braga_2020_lung_Lymphatic	Adult	Respiratory system	Braga_2020_lung	Lymphatic	Endothelial cell	CL:0000115	Lung	UBERON:0002048	0.0429204083329205	0.13430984071019	0.316605166051661	0.176798907819334	0.752520422182118
TS_Lung_type i pneumocyte	Adult	Respiratory system	TS_Lung	type i pneumocyte	Pneumocyte	CL:0000322	Lung	UBERON:0002048	4.67911688088025e-05	0.387892078967544	0.109963099630996	0.177211185558961	0.751508868943225
TS_Uterus_macrophage	Adult	Reproductive system	TS_Uterus	macrophage	Macrophage	CL:0000235	Uterus	UBERON:0000995	0.000130366225261351	0.368869302507214	0.118819188191882	0.180901647431693	0.742557478097424
FetalMuscle_Erythroid cell	Fetal	Muscular system	FetalMuscle	Erythroid cell	Erythroid lineage cell	CL:0000764	Muscle organ	UBERON:0001630	0.0798568725717998	0.12079257622758	0.364206642066421	0.181416455324257	0.741323322940729
TS_Muscle_endothelial cell of artery	Adult	Muscular system	TS_Muscle	endothelial cell of artery	Endothelial cell	CL:0000115	Muscle organ	UBERON:0001630	1.45654933948446e-05	0.43715408539505	0.101107011070111	0.182059098293955	0.739787612582139
FetalLung_Fetal chondrocyte	Fetal	Respiratory system	FetalLung	Fetal chondrocyte	Chondrocyte	CL:0000138	Lung	UBERON:0002048	0.0534888640864956	0.135994363031731	0.3309963099631	0.184591448598901	0.733788422011797
Madissoon_2020_oesophagus_Glands_duct	Adult	Digestive system	Madissoon_2020_oesophagus	Glands_duct	Salivary gland cell	CL:0009005	Esophagus	UBERON:0001043	0.0112017010998676	0.186283517216274	0.24280442804428	0.18526327306139	0.732210667500748
AdultHeart_Endothelial cell (APC)	Adult	Cardiovascular system	AdultHeart	Endothelial cell (APC)	Endothelial cell	CL:0000115	Heart	UBERON:0000948	0.0407473884405353	0.147498417910548	0.311808118081181	0.187612154202476	0.72673902985843
AdultArtery_Macrophage	Adult	Cardiovascular system	AdultArtery	Macrophage	Macrophage	CL:0000235	Artery	UBERON:0001637	0.00493662852554018	0.217262293568517	0.211808118081181	0.187694405223259	0.726548672593779
NeonatalAdrenalGland_Monocyte	Neonatal	Endocrine system	NeonatalAdrenalGland	Monocyte	Monocyte	CL:0000576	Adrenal gland	UBERON:0002369	0.0297420720101121	0.161549799226817	0.28929889298893	0.189900155064198	0.721474680636874
TS_Tongue_keratinocyte	Adult	Digestive system	TS_Tongue	keratinocyte	Keratinocyte	CL:0000312	Tongue	UBERON:0001723	1.61637831704284e-05	0.453876050879616	0.103321033210332	0.190386218790419	0.720364491455154
TS_Mammary_macrophage	Adult	Endocrine system	TS_Mammary	macrophage	Macrophage	CL:0000235	Mammary gland	UBERON:0001911	0.000765698882870449	0.303871392441897	0.15719557195572	0.193047243133009	0.714336396063608
TS_Eye_melanocyte	Adult	Sensory system	TS_Eye	melanocyte	Melanocyte	CL:0000148	Eye	UBERON:0000970	5.17899193819314e-05	0.432881150725775	0.111439114391144	0.194482451702901	0.711119579286431
TS_Thymus_monocyte	Adult	Lymphatic system	TS_Thymus	monocyte	Monocyte	CL:0000576	Thymus	UBERON:0002370	0.000382142947334157	0.34475187317198	0.14169741697417	0.196329552312446	0.707014323730452
FetalPancreas_Monocyte	Fetal	Digestive system	FetalPancreas	Monocyte	Monocyte	CL:0000576	Pancreas	UBERON:0001264	0.02283389900722	0.177778733788006	0.274907749077491	0.196396875609998	0.70686542549067
FetalBrain_Fetal mesenchymal progenitor	Fetal	Nervous system	FetalBrain	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Brain	UBERON:0000955	0.0148933605608103	0.195158073837076	0.251660516605166	0.197123237489946	0.705262176741355
FetalMuscle_Fetal neuron	Fetal	Muscular system	FetalMuscle	Fetal neuron	Neuron	CL:0000540	Muscle organ	UBERON:0001630	0.037309662700076	0.162864548355825	0.307011070110701	0.19979026628076	0.699425674285858
AdultUterus_Endothelial cell	Adult	Reproductive system	AdultUterus	Endothelial cell	Endothelial cell	CL:0000115	Uterus	UBERON:0000995	0.0278559931579359	0.179956287032925	0.286346863468635	0.204346668109886	0.689632439103783
TS_Eye_radial glial cell	Adult	Sensory system	TS_Eye	radial glial cell	Glial cell	CL:0000125	Eye	UBERON:0000970	1.61596468530557e-05	0.510985466170887	0.102583025830258	0.206974030827346	0.684084142349361
FetalAdrenalGland_Monocyte	Fetal	Endocrine system	FetalAdrenalGland	Monocyte	Monocyte	CL:0000576	Adrenal gland	UBERON:0002369	0.0314548812453988	0.180326060225458	0.291512915129151	0.207412969197103	0.683164091367234
TS_Skin_macrophage	Adult	Integumentary system	TS_Skin	macrophage	Macrophage	CL:0000235	Skin of body	UBERON:0002097	0.00038145751189516	0.385468010260936	0.139852398523985	0.211346868781394	0.675004182095837
Fetal_HCA_Muscle_Erythroblasts	Fetal	Muscular system	Fetal_HCA_Muscle	Erythroblasts	Erythroblast	CL:0000765	Muscle organ	UBERON:0001630	0.0585951458160765	0.160933510572595	0.335793357933579	0.211731561235878	0.674214400133905
TS_Bone_Marrow_cd24 neutrophil	Adult	Lymphatic system	TS_Bone_Marrow	cd24 neutrophil	Neutrophil	CL:0000775	Bone marrow	UBERON:0002371	0.000131245092297662	0.453341934045957	0.119557195571956	0.212197877040069	0.673258965365853
TS_Trachea_goblet cell	Adult	Respiratory system	TS_Trachea	goblet cell	Goblet cell	CL:0000160	Trachea	UBERON:0003126	0.00112725905925376	0.323756973018138	0.168265682656827	0.213004347161905	0.671611533044071
AdultHeart_Macrophage	Adult	Cardiovascular system	AdultHeart	Macrophage	Macrophage	CL:0000235	Heart	UBERON:0000948	0.0407473884405353	0.174779462337457	0.311808118081181	0.213063902178816	0.67149012331489
FetalPancreas_Fetal stromal cell	Fetal	Digestive system	FetalPancreas	Fetal stromal cell	Stromal cell	CL:0000499	Pancreas	UBERON:0001264	0.0489118897900101	0.168945263077485	0.323247232472325	0.213393830043176	0.670818141691961
AdultCerebellum_Oligodendrocyte	Adult	Nervous system	AdultCerebellum	Oligodendrocyte	Oligodendrocyte	CL:0000128	Cerebellum	UBERON:0002037	0.0245891697641711	0.198239517108188	0.278228782287823	0.21497528451566	0.667611467598207
Fetal_HCA_Pancreas_Mesothelial cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Mesothelial cells	Mesothelial cell	CL:0000077	Pancreas	UBERON:0001264	0.0218692507817555	0.201731819482114	0.273431734317343	0.214986706161127	0.66758839412795
TS_Blood_macrophage	Adult	Lymphatic system	TS_Blood	macrophage	Macrophage	CL:0000235	Blood	UBERON:0000178	0.000143408902687606	0.454656683174964	0.121771217712177	0.215578050391327	0.666395459993659
AdultAscendingColon_Stromal cell	Adult	Digestive system	AdultAscendingColon	Stromal cell	Stromal cell	CL:0000499	Ascending colon	UBERON:0001156	0.0690767812984277	0.157194692736979	0.354243542435424	0.216506347700124	0.664529366143301
AdultSpleen_Neutrophil	Adult	Lymphatic system	AdultSpleen	Neutrophil	Neutrophil	CL:0000775	Spleen	UBERON:0002106	0.0315763275395421	0.190515365975267	0.292988929889299	0.216892284894382	0.663755896060446
TS_Blood_monocyte	Adult	Lymphatic system	TS_Blood	monocyte	Monocyte	CL:0000576	Blood	UBERON:0000178	4.68732716891459e-05	0.515176229019599	0.11070110701107	0.220375719812449	0.656836256155745
FetalPancreas_Fetal endocrine cell	Fetal	Digestive system	FetalPancreas	Fetal endocrine cell	Endocrine cell	CL:0000163	Pancreas	UBERON:0001264	0.02283389900722	0.207648190562649	0.274907749077491	0.220528978689597	0.656534333823981
TS_Eye_muller cell	Adult	Sensory system	TS_Eye	muller cell	Mueller cell	CL:0000636	Eye	UBERON:0000970	0.000157215590565301	0.458354415100298	0.125461254612546	0.221734629839133	0.654166474799052
TS_Salivary_Gland_adventitial cell	Adult	Digestive system	TS_Salivary_Gland	adventitial cell	Adventitial cell	CL:0002503	Saliva-secreting gland	UBERON:0001044	0.000451485589591741	0.380167927834624	0.152029520295203	0.222565032252469	0.65254306773138
FetalSkin_Macrophage	Fetal	Integumentary system	FetalSkin	Macrophage	Macrophage	CL:0000235	Skin of body	UBERON:0002097	0.0263011380985844	0.205840410510263	0.282656826568266	0.223662598061215	0.650406634650378
Madissoon_2020_oesophagus_Epi_stratified	Adult	Digestive system	Madissoon_2020_oesophagus	Epi_stratified	Epithelial cell	CL:0000066	Esophagus	UBERON:0001043	0.0112017010998676	0.241461894724315	0.24280442804428	0.224928884927123	0.647954769735773
Braga_2020_lung_Alveolar cells type 1	Adult	Respiratory system	Braga_2020_lung	Alveolar cells type 1	Alveolar capillary type 1 endothelial cell	CL:4028002	Lung	UBERON:0002048	0.0429204083329205	0.186776548139652	0.316605166051661	0.226363137250511	0.645194295647014
TS_Salivary_Gland_endothelial cell of lymphatic vessel	Adult	Digestive system	TS_Salivary_Gland	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Saliva-secreting gland	UBERON:0001044	0.000157276916112503	0.466037480322937	0.126937269372694	0.226428472733639	0.645068962759362
CordBlood_Monocyte	Neonatal	Reproductive system	CordBlood	Monocyte	Monocyte	CL:0000576	Umbilical cord blood	UBERON:0012168	0.0399901638436588	0.193678981066942	0.309963099630996	0.228898425276675	0.64035719507558
Fetal_HCA_Pancreas_ENS glia	Fetal	Digestive system	Fetal_HCA_Pancreas	ENS glia	Glial cell	CL:0000125	Pancreas	UBERON:0001264	0.0218692507817555	0.221576314148074	0.273431734317343	0.230450437719215	0.637422462636622
TS_Eye_fibroblast	Adult	Sensory system	TS_Eye	fibroblast	Fibroblast	CL:0000057	Eye	UBERON:0000970	0.000451167220363627	0.404038841708169	0.150553505535055	0.231132558706724	0.636138872908193
AdultProstate_Dendritic cell	Adult	Reproductive system	AdultProstate	Dendritic cell	Dendritic cell	CL:0000451	Prostate gland	UBERON:0002367	0.0586262126108168	0.182133840277844	0.336531365313653	0.232430643892494	0.633706614680699
TS_Lung_endothelial cell of artery	Adult	Respiratory system	TS_Lung	endothelial cell of artery	Endothelial cell	CL:0000115	Lung	UBERON:0002048	0.00290211673539193	0.322031364786316	0.191881918819188	0.233819766391502	0.631118777725523
VentoTormo_2018_decidua_monocyte	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	monocyte	Monocyte	CL:0000576	Decidua	UBERON:0002450	0.00120848974695943	0.356584615333049	0.173431734317343	0.233961984657331	0.630854703251306
TS_Trachea_serous cell of epithelium of trachea	Adult	Respiratory system	TS_Trachea	serous cell of epithelium of trachea	Serous cell of epithelium of trachea	CL:1000330	Trachea	UBERON:0003126	0.0157766187472779	0.240886691980374	0.257933579335793	0.234767527167994	0.629361974490217
TS_Muscle_endothelial cell of lymphatic vessel	Adult	Muscular system	TS_Muscle	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Muscle organ	UBERON:0001630	0.0655050991891647	0.17843610835251	0.348339483394834	0.234833025753172	0.629240826105178
VentoTormo_2018_decidua_decidual stromal cell (dS2)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	decidual stromal cell (dS2)	Stromal cell	CL:0000499	Decidua	UBERON:0002450	0.00120848974695943	0.364021165093998	0.173431734317343	0.237538157302853	0.624266616881188
FetalKidney_Ureteric bud cell	Fetal	Urinary system	FetalKidney	Ureteric bud cell	Epithelial cell	CL:0000066	Kidney	UBERON:0002113	0.0401125303103207	0.205922582330826	0.31070110701107	0.23987386893847	0.620017060051946
Fetal_HCA_Stomach_Squamous epithelial cells	Fetal	Digestive system	Fetal_HCA_Stomach	Squamous epithelial cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945	0.0693029338862608	0.181435379803058	0.356088560885609	0.241593689864779	0.616914413149809
AdultAdrenalGland_Endothelial cell (APC)	Adult	Endocrine system	AdultAdrenalGland	Endothelial cell (APC)	Endothelial cell	CL:0000115	Adrenal gland	UBERON:0002369	0.014904027107185	0.258142774298599	0.25239852398524	0.243092012552555	0.614229310845432
Fetal_HCA_Stomach_Goblet cells	Fetal	Digestive system	Fetal_HCA_Stomach	Goblet cells	Goblet cell	CL:0000160	Stomach	UBERON:0000945	0.0693029338862608	0.19059753779583	0.356088560885609	0.250450170339225	0.601278668596706
TS_Eye_corneal epithelial cell	Adult	Sensory system	TS_Eye	corneal epithelial cell	Epithelial cell	CL:0000066	Eye	UBERON:0000970	0.000157215590565301	0.541019266586656	0.125461254612546	0.250469950775234	0.601244369578356
AdultThyroid_Endothelial cell (APC)	Adult	Endocrine system	AdultThyroid	Endothelial cell (APC)	Endothelial cell	CL:0000115	Thyroid gland	UBERON:0002046	0.0246439313418524	0.242817729763604	0.27970479704797	0.250578423128169	0.60105632807375
TS_Eye_retinal blood vessel endothelial cell	Adult	Sensory system	TS_Eye	retinal blood vessel endothelial cell	Endothelial cell	CL:0000115	Eye	UBERON:0000970	0.000157215590565301	0.542950304369886	0.125461254612546	0.251121240581067	0.600116551815099
TS_Eye_monocyte	Adult	Sensory system	TS_Eye	monocyte	Monocyte	CL:0000576	Eye	UBERON:0000970	0.000451167220363627	0.457121837791854	0.150553505535055	0.253003739776266	0.596873059250301
AdultCerebellum_Neutrophil	Adult	Nervous system	AdultCerebellum	Neutrophil	Neutrophil	CL:0000775	Cerebellum	UBERON:0002037	0.056430015423597	0.207442761011241	0.334686346863469	0.254625455607153	0.594098180898032
TS_Lymph_Node_cd1c-positive myeloid dendritic cell	Adult	Lymphatic system	TS_Lymph_Node	cd1c-positive myeloid dendritic cell	Dendritic cell	CL:0000451	Lymph node	UBERON:0000029	0.000381765233035675	0.495126304802232	0.140959409594096	0.255596661604411	0.592444822877687
TS_Muscle_skeletal muscle satellite stem cell	Adult	Muscular system	TS_Muscle	skeletal muscle satellite stem cell	Skeletal muscle satellite cell	CL:0000594	Muscle organ	UBERON:0001630	0.000415934610409791	0.492743322005905	0.144649446494465	0.259527346259051	0.585816874024836
FetalSkin_Fetal stromal cell	Fetal	Integumentary system	FetalSkin	Fetal stromal cell	Stromal cell	CL:0000499	Skin of body	UBERON:0002097	0.0336842666428539	0.237353303696166	0.300738007380074	0.259807528125204	0.585348269060267
Lake_2017_CerebellarHemisphere_Ast	Adult	Nervous system	Lake_2017_CerebellarHemisphere	Ast	Astrocyte	CL:0000127	Cerebellar hemisphere	UBERON:0002245	0.0049013989506893	0.338465728898912	0.211070110701107	0.25996282315277	0.585088755313937
TS_Bladder_macrophage	Adult	Urinary system	TS_Bladder	macrophage	Macrophage	CL:0000235	Bladder organ	UBERON:0018707	0.000350811046304964	0.518668531393525	0.138007380073801	0.260332359201901	0.584471845915463
TS_Muscle_macrophage	Adult	Muscular system	TS_Muscle	macrophage	Macrophage	CL:0000235	Muscle organ	UBERON:0001630	0.000415934610409791	0.498002318521936	0.144649446494465	0.261532497669253	0.582474338607302
TS_Spleen_endothelial cell	Adult	Lymphatic system	TS_Spleen	endothelial cell	Endothelial cell	CL:0000115	Spleen	UBERON:0002106	0.000416016204729129	0.492784407916187	0.146494464944649	0.261938570581596	0.58180054679281
Lake_2017_FrontalCortex_Ex6a	Adult	Nervous system	Lake_2017_FrontalCortex	Ex6a	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870	0.0489530167136041	0.221781743699481	0.326568265682657	0.262560314314593	0.580770916390725
Fetal_HCA_Eye_Lens fibre cells	Fetal	Sensory system	Fetal_HCA_Eye	Lens fibre cells	Lens fibre cell	CL:0011004	Eye	UBERON:0000970	0.0810189403412245	0.197458884812839	0.367158671586716	0.262748930358579	0.580459043293297
TS_Prostate_club cell of prostate epithelium	Adult	Reproductive system	TS_Prostate	club cell of prostate epithelium	Club cell	CL:0000158	Prostate gland	UBERON:0002367	0.000827802712196861	0.464270786180833	0.159409594095941	0.266697072884875	0.573981750852766
TS_Vasculature_artery endothelial cell	Adult	Cardiovascular system	TS_Vasculature	artery endothelial cell	Endothelial cell	CL:0000115	Vasculature	UBERON:0002049	0.00104963833408709	0.461353686550847	0.163837638376384	0.270788487349403	0.567369803749488
TS_Muscle_endothelial cell of vascular tree	Adult	Muscular system	TS_Muscle	endothelial cell of vascular tree	Endothelial cell	CL:0000115	Muscle organ	UBERON:0001630	0.000415934610409791	0.530213672182624	0.144649446494465	0.273641822703989	0.562817525440705
AdultPleura_Mesothelial cell	Adult	Respiratory system	AdultPleura	Mesothelial cell	Mesothelial cell	CL:0000077	Pleura	UBERON:0000977	0.0440264533236186	0.241708410186004	0.318819188191882	0.274581231198654	0.561329151969746
Enge_2017_Pancreas_pancreatic D cell	Adult	Digestive system	Enge_2017_Pancreas	pancreatic D cell	Pancreatic D cell	CL:0000173	Pancreas	UBERON:0001264	0.0652683901685927	0.2228499773668	0.346125461254613	0.274767722952187	0.561034285320855
